,Title,Content,Category
0,"
Suzuki to invest ₹10,440 cr to make electric vehicles, batteries in Gujarat
","Japan's Suzuki Motor Corporation has announced plans to invest around ₹10,440 crore to locally manufacture electric vehicles (BEV) and BEV batteries in Gujarat. The memorandum of understanding was signed at India-Japan Economic Forum in the presence of PM Narendra Modi and Japanese PM Fumio Kishida. ""We'll continue active investment in India to realise Atmanirbhar Bharat,"" Suzuki's President said.",business
1,"
₹224 cr undisclosed income found during raids on Maharashtra-based unicorn
","The Income Tax department found an undisclosed income of about ₹224 crore after it raided a unicorn startup based in Pune and Thane in Maharashtra. While the firm is engaged in wholesale and retail of construction materials, the Central Board of Direct Taxes said that its annual turnover exceeded ₹6,000 crore. Unaccounted cash worth ₹1 crore has also been seized.",business
2,"
Reliance Retail acquires 89% stake in women's innerwear brand Clovia
","Reliance Retail Ventures Limited (RRVL) has acquired an 89% equity stake in Purple Panda Fashions Private Limited, which owns and operates Clovia, a brand for women's innerwear and loungewear. Reliance made an investment of ₹950 crore through a combination of secondary stake purchase and primary investment. Clovia was launched in 2013 by Pankaj Vermani, Neha Kant and Suman Chowdhury.",business
3,"
Russia's richest man's property worth $116 million seized by Italy
","Italian authorities have seized a building complex owned by Russian businessman Alexei Mordashov, Prime Minister Mario Draghi's office announced. The property is located on the Mediterranean island of Sardinia and is worth around $116 million. Earlier this month, a 215-foot yacht worth more than $71 million, called the ""Lady M"", belonging to Russia's richest man Mordashov was impounded in Italy.",business
4,"
Govt working on classification of cryptos under GST law: Report
","The government is reportedly working on the classification of cryptocurrencies as goods or services under the GST law. ""There's a clarity needed in regard to levy of GST on cryptocurrencies and whether it has to be levied on the entire value,"" an official told PTI. Currently, the government levies 18% GST on the services provided by the crypto exchanges.",business
5,"
Bezos' ex-wife MacKenzie donates $281 mn to Boys & Girls Clubs of America
","Philanthropist MacKenzie Scott has donated $281 million to Boys & Girls Clubs of America, marking the largest gift by an individual in the organisation's 160-year history. ""Gifts like this are rare and have incredible impact,"" the organisation's President Jim Clark said. MacKenzie, who divorced Amazon Founder Jeff Bezos in 2019, has a net worth of $54.4 billion, as per Bloomberg.",business
6,"
Brazil bans Telegram, CEO says 'company was checking wrong email id for orders'
","After Brazil’s Supreme Court banned Telegram for facilitating disinformation and failing to comply with orders, CEO Pavel Durov issued a statement saying that the company was checking the wrong email address for communications with the court. Durov said the company had given a different email address for further communication but the court sent the orders to an old email address. ",business
7,"
Apple ex-employee charged with defrauding company out of $10 mn in US
","Dhirendra Prasad, a former Apple employee, has been charged with defrauding the tech giant out of more than $10 million in the US. The 52-year-old worked for 10 years as a buyer in Apple's Global Service Supply Chain department. According to the federal prosecutors, Prasad exploited his position to defraud Apple by allegedly taking kickbacks, stealing equipment and laundering money.",business
8,"
Cooperating with authorities: Infra.Market after ₹224 cr undisclosed income detected
",Infra.Market Founder Souvik Sengupta on Sunday said that they are cooperating with the authorities to provide them with the necessary information to solve the issues they have in relation to the recent searches. The Income Tax department has found an undisclosed income of ₹224 crore from the Maharashtra-based unicorn startup group and has seized unaccounted cash worth ₹1 crore.,business
9,"
He is Aatmanirbhar: Anand Mahindra on 19-year-old's midnight run in Noida
","Sharing the viral video of a 19-year-old man running in Noida at midnight, Mahindra Group Chairman Anand Mahindra said, ""He is Aatmanirbhar!"" While he refused a lift offered by filmmaker Vinod Kapri, Mahindra wrote, ""This is indeed inspiring. But you know what my Monday Motivation is? The fact that he is so independent and refuses the offer of a ride.""",business
