,Title,Content,Category
0,"
Raj's Kota imposes Sec 144 till April 21 in view of 'The Kashmir Files' screening
","Section 144 of CrPC has been imposed in Rajasthan's Kota from March 22 to April 21 in order to maintain law and order during screening of 'The Kashmir Files'. ""Kota is highly vulnerable from communal point of view. Dharnas...due to the film, deaths of youth while bathing in Chambal river during upcoming festivals may affect...public order,"" an official order states.",entertainment
1,"
Rapper MC Tod Fod, who featured in 'Gully Boy', passes away aged 24
","Rapper Dharmesh Parmar aka MC Tod Fod, who featured in Ranveer Singh-starrer 'Gully Boy', has passed away aged 24. He was associated with the multilingual group Swadesi. The cause of his death is not known yet. Ranveer took to Instagram Stories to share a picture of MC Tod Fod and shared a broken heart emoji.",entertainment
2,"
Sushmita Sen, ex-boyfriend Rohman seen together for first time post-breakup, pics surface
","Actress Sushmita Sen and her ex-boyfriend Rohman Shawl were spotted together in Mumbai for the first time after their breakup in December last year. Sushmita's younger daughter Alisah Sen was also seen accompanying them. While announcing her breakup in December last year, Sushmita wrote on Instagram, ""We began as friends, we remain friends!! The relationship was long over...the love remains!!""",entertainment
3,"
Siddhant Chaturvedi mourns 24-year-old rapper MC Tod Fod's demise, shares Instagram chat
","Actor Siddhant Chaturvedi took to Instagram Stories to mourn the demise of 24-year-old rapper MC Tod Fod, who had featured in the film 'Gully Boy'. Sharing an Instagram chat from 2019, Siddhant wrote, ""RIP bhai"" and added a broken heart emoji. In the chat, Siddhant praised MC Tod Fod for the song 'India 91'.",entertainment
4,"
I've been out of work for 3yrs, people lost faith in me: Bobby Deol
","Actor Bobby Deol has stated that he has seen his lows and was out of work for almost three years. ""It's not that people didn't want to work with me, it's just that they lost faith in me,"" he added. Bobby further said it's a fight to find good work, adding that people who perform well keep getting good work.",entertainment
5,"
I said counsel him, not cancel him: Trevor after Kanye's attack on him
","Television talk show host Trevor Noah on Sunday tweeted, ""I said counsel Kanye, not cancel Kanye."" This comes after rapper Kanye West was barred from performing at the Grammy Awards 2022 due to his ""concerning online behaviour"". Kanye had directed a racial attack on Trevor after he criticised the rapper saying that he was harassing his ex-wife Kim Kardashian.",entertainment
6,"
Payal verbally attacked, Kangana seems to agree abuses are justified: Sangram
","Indian wrestler Sangram Singh said that his girlfriend Payal Rohatgi is not being allowed to speak on show 'Lock Upp'. ""Everyone [has] used or verbally attacked her...Poonam and Anjali abuse Payal...no one fires them. Kangana seems to agree that abuses are justified...This is very unfair...You're killing someone's self-confidence with such uncalled for behaviour,"" Sangram added.",entertainment
7,"
Manoj Bajpayee is the biggest star in India today, not Salman: Shekhar Kapur
","Filmmaker Shekhar Kapur said Bollywood will be ""completely shattered and unsuccessful if we try to tell the stories"". ""If you walk around in India today, who is the biggest star? It is not Salman Khan, it is Manoj Bajpayee...because everybody is shifting to OTT,"" added Shekhar. ""We are arrogant enough to call ourselves storytellers...We provoke,"" stated Shekhar.",entertainment
8,"
Condition was I didn't have to mimic Rishi: Paresh on 'Sharmaji Namkeen'
","Actor Paresh Rawal who will be seen playing the same role as late actor Rishi Kapoor in the movie 'Sharmaji Namkeen', said that the condition for him was to not mimic Rishi. ""That wouldn't have done it. I had to hold on to his characteristics, his pain, the theme of the character and the focal point,"" he added.",entertainment
9,"
Ranveer, Jacqueline are class apart when it comes to dancing: Govinda
","In a recent interview, when asked who would be perfect to take his and actress Karisma Kapoor's place as a hit on-screen Jodi, actor Govinda replied, ""I think today, from the younger crop, Ranveer Singh and Jacqueline Fernandez are both a class apart when it comes to dancing."" ""I think they would make a great Jodi as well,"" he added.",entertainment
