,Title,Content,Category
0,"
Pushkar Singh Dhami named as Uttarakhand CM
","Uttarakhand's caretaker CM Pushkar Singh Dhami has been chosen as the new state CM after BJP won 47 seats in the 70-member Assembly in the recently-concluded elections. Dhami had lost the Khatima seat to Congress candidate Bhuwan Chandra Kapri, who won by a margin of over 6,500 votes. Dhami had earlier taken charge as CM in July 2021.",politics
1,"
Pramod Sawant to continue as Goa Chief Minister for 2nd term
","Goa's caretaker CM Pramod Sawant has been chosen as the CM of the state for a second term, days after BJP won 20 seats in the 40-member Goa assembly. Notably, this will be the third straight term of the BJP in Goa. Reports suggest that the swearing-in ceremony of the new government will tentatively take place between March 23-25.",politics
2,"
I will only help those who voted for me: UP BJP MLA Dinesh Rawat
","BJP MLA Dinesh Rawat, who won from Uttar Pradesh's Haidergarh constituency, said, ""These people should not come to me for any kind of help. I will help only those who have voted for me."" Rawat said this while addressing a gathering on Holi and it came to light when a video of the event surfaced online.",politics
3,"
N Biren Singh takes oath as Manipur CM; 5 MLAs sworn in as Cabinet ministers
","N Biren Singh on Monday took oath as the Chief Minister of Manipur, for the second term. Singh was administered the oath of office by Manipur Governor La Ganesan at Raj Bhavan in Imphal. Five MLAs, including Nemcha Kipgen, Yumnam Khemchand Singh, Thongam Biswajit Singh, Awangbou Newmai and Govindas Konthoujam, were also sworn in as Cabinet ministers of the state.",politics
4,"
Hope wisdom prevails in future: Tharoor as Sonia denies permission for CPI(M) event
","Congress MP Shashi Tharoor said he pulled out of a CPI(M) event after party chief Sonia Gandhi denied him permission to attend it. Stressing on the need to follow procedures in such issues, Tharoor said, ""I regret that some preferred the unseemly airing of internal differences, thereby creating a needless controversy...I hope wisdom will prevail in the future.""",politics
5,"
Working with Prashant on bringing change in country: T'gana CM KCR
","Telangana CM K Chandrashekar Rao on Monday said that he's working with political strategist Prashant Kishor on bringing a ""parivartan (change)"" in the entire country. He called Kishor his ""best friend"" for the last seven and a half years, adding that he isn't a paid worker. ""There's a vacuum in national politics. I'm pursuing national politics now,"" he further said.",politics
6,"
Channi meets Punjab CM Mann in 1st meeting since Assembly polls
","Former Punjab CM Charanjit Singh Channi met and congratulated the state's new CM Bhagwant Mann in Chandigarh on Monday. This is Channi's first meeting with CM Bhagwant Mann after the Assembly election results were announced on March 10. Channi lost the elections from both Assembly seats of Bhadaur and Chamkaur Sahib, where he had contested from.",politics
7,"
WB introduces new govt school uniform with 'Biswa Bangla' logo
","The TMC-led West Bengal government has introduced a common blue-and-white uniform featuring the 'Biswa Bangla' logo in all state-run schools. According to the notification, the Department of MSME and Textiles will be supplying the new uniforms. However, the move has garnered some criticism with a lawyer filing public interest litigation in Calcutta High Court against the use of the logo.",politics
8,"
Akhilesh alleges irregularities in vote counting during UP polls
","Samajwadi Party chief Akhilesh Yadav alleged that there were irregularities in counting of votes during the Uttar Pradesh Assembly polls. He said that the SP candidate from Varanasi South was leading till 20 rounds of counting. However, counting of votes was suddenly stopped and some time later, BJP's Neelkanth Tiwari, a minister, was declared the winner, he added.",politics
9,"
HP University VC files nomination as BJP candidate for Rajya Sabha poll
","Himachal Pradesh University vice-chancellor Sikander Kumar on Monday filed his nomination as BJP candidate for election to the lone vacant seat in Rajya Sabha from the state. The election has been necessitated as Congress MP Anand Sharma will complete his term on April 2. Notably, two of the three Rajya Sabha seats from the state are occupied by BJP.",politics
