,index,Title,Content,Category
0,0,"
Pics show 214-million-year-old geological structure on Earth formed by meteorite
","Astronaut Kayla Barron, who's currently aboard ISS, shared photos of a 214-million-year old geological structure on Earth. ""The Manicouagan Reservoir and René-Levasseur Island always catch my eye during passes over Quebec,"" she wrote. ""This...geological structure was formed...by a meteorite that scientists estimate was about 5 km in diameter and struck the earth at...17 km/s,"" Barron added. ",science
1,1,"
NASA shares pic of infant star's energetic outburst, says 'A star is born'
","NASA has shared the picture of an energetic outburst from an infant star captured by the Hubble Space Telescope. Sharing the picture on Twitter, NASA tweeted, ""A star is born."" NASA explained, ""This stellar tantrum, produced by an extremely young star in the earliest phase of formation, consists of an incandescent jet of gas travelling at supersonic speeds.""",science
2,2,"
World's biggest telescope captures star with ancient galaxies in background, pic released
","James Webb Space Telescope, the world's biggest and most powerful space telescope, completed its final round of fine phasing to correct its alignment errors. During the process, the telescope focussed on a single star, however, several ancient galaxies and stars also showed up in the background due to the telescope's sensitive optics. NASA released a picture of the star.",science
3,3,"
Caribbean coral reefs have been warming for at least 100 years: Study
","US researchers stated Caribbean coral reefs have been warming for at least 100 years. The team analysed sea-surface temperatures and revealed that the reefs were warming since 1915. However, they added that in four out of eight sub-regions, warming may have started during second half of nineteenth century. The team studied 5,326 coral reefs across eight Caribbean regions.",science
4,4,"
Pet hamsters can trasmit COVID-19 to humans: Hong Kong study
","Hong Kong researchers said pet hamsters can pass COVID-19 to humans and that they were most likely responsible for city's Delta variant outbreak. As per study, 50% from the tested Syrian hamsters in a pet shop and 58% from a warehouse in Hong Kong were tested positive for COVID-19. Team added both locations were ascertained as prime sources of transmission.",science
5,5,"
Pig noises reveal their positive and negative emotions, find scientists
",Scientists have created an algorithm using 7000 different types of sounds made by 411 pigs throughout their lifespan and found these sounds indicated their emotions. The study revealed that short sounds without much fluctuation in volume indicated positive emotions (happy or excited). Negative emotions (scared or stressed) were shown by longer squeals and vocalisations at higher frequencies.,science
6,6,"
European Space Agency selects Thales-led team to make oxygen on Moon
",An industrial team led by UK-based Thales Alenia Space has been chosen by the European Space Agency (ESA) to design and build an experimental payload to extract oxygen on the Moon. They would develop a small solar-powered prototype device that will evaluate the prospect of building larger oxygen plants to extract breathable air for astronauts from the lunar soil.,science
7,7,"
Researchers develop algorithm to study Sun's coronal mass ejections
","A team of Indian solar physicists has developed an algorithm to study the structure and characteristics of coronal mass ejections (CMEs). Named Simple Radial Gradient Filter (SiRGraF), the algorithm separates the background solar corona to reveal time-scale transient structures of the corona. CMEs are massive clouds of particles that are pushed out into space from the Sun's atmosphere.",science
8,8,"
Deep Ocean Mission will bolster observations in Indian Ocean: Centre
","Ministry of Earth Sciences Secretary M Ravichandran on Monday said Deep Ocean Mission will strengthen observational network in Indian Ocean. He added the system will help capture long term changes in the ocean's climatic conditions. Reportedly, eight deep ocean gliders, 48 argo floats and 150 wave drifters will be added in coming years as part of the ₹4,000 crore mission.",science
9,9,"
UK-based startup Space Forge aim to launch country's 1st satellite 
","UK-based startup Space Forge and Richard Branson's Virgin Orbit may launch Britain's first satellite over this summer. ""We're thrilled to be making UK history with our first launch,"" said Space Forge CEO Joshua Western. The CEO added that this is the start of a great collaboration. Space Forge's microgravity satellite, ForgeStar will be launched aboard Virgin Orbit's LauncherOne rocket. ",science
