,Title,Content,Category
0,"
South Africa once needed 22 off 13 balls, rain rule made it 21 off 1
","South Africa needed 22 runs off 13 balls to win the World Cup semi-final against England on March 22, 1992 when rain stopped play. When the play resumed, South Africa's target was revised to 21 off 1 ball due to the rain rule, according to which reduction in target was proportionate to lowest-scoring overs of side batting first.",sports
1,"
David Beckham hands Instagram account to Ukrainian doctor to raise awareness
","David Beckham has handed control of his Instagram account with 71.6 million followers to a Ukrainian doctor. In a video posted on Sunday, Beckham said he wanted to highlight the ""amazing work"" of medical staff operating amid the Russian invasion. On Sunday, Dr Iryna, through Beckham's Stories, shared visuals of healthcare facilities being provided in a basement amid the war. ",sports
2,"
Pakistan win a Women's World Cup game for the first time since 2009
","Pakistan defeated West Indies today to win a match in Women's World Cup for the first time since 2009. Before this match, Pakistan had lost 18 matches in a row in Women's World Cups. The match was reduced to 20 overs per side, with West Indies putting up a total of 89/7. Pakistan chased down the target in 18.5 overs.",sports
3,"
Who holds the record for playing the most deliveries in a Test match?
","Late England batter Walter Reginald Hammond holds the record for playing the most deliveries in a Test. He faced a total of 977 deliveries to set the record in a Test against Australia in 1929. He is followed by Herbert Sutcliffe (871 deliveries), Leonard Hutton (847), Glenn Turner (759), Robert Simpson (749), Geoffrey Boycott (725) and Mark Taylor (723).",sports
4,"
Virat Kohli joins RCB bio-bubble ahead of IPL 2022, RCB share pics
","Former RCB captain Virat Kohli joined the team bio-bubble ahead of IPL 2022. RCB took to social media to share pictures of Kohli, writing, ""King Kohli has arrived! That's it. That's the news."" RCB will face PBKS in their IPL 2022 opener on March 27 at DY Patil Stadium in Navi Mumbai. RCB will be led by Faf Du Plessis.",sports
5,"
Venkatesh is a team man, always talks about winning: KKR skipper Shreyas
","Praising Venkatesh Iyer, KKR captain Shreyas Iyer said the batter is a team man and always talks about winning. ""That's the type of character we need in our team, one who is ready to go out there...show that relentlessness,"" he added. Talking about Venkatesh's batting spot in the team, Shreyas said that he's very flexible at any position.",sports
6,"
I went back to my playing days as captain during auction: LSG mentor Gambhir 
","LSG mentor Gautam Gambhir has revealed that he went back to playing days as captain to gauge what their captain KL Rahul would feel about the players they were investing in during the IPL mega auction. ""I was trying to think like the captain...[to] understand what KL would have felt,"" Gambhir stated. LSG will face GT on March 28. ",sports
7,"
Coach Ponting addresses squad ahead of IPL 2022, DC share video
","DC have shared a video in which head coach Ricky Ponting can be seen addressing the squad for the first time ahead of the IPL season. ""This tournament for me is not just about the players and the coaches...What we try and create...is a family environment,"" said Ponting. DC will play their first match against MI on March 27.",sports
8,"
Been a long journey, I gave it all vs Viktor but it wasn't meant to be: Lakshya
","India's 20-year-old shuttler Lakshya Sen has thanked his supporters and well-wishers after winning the silver at the All England Open Badminton Championships. ""It's been a long journey from Almora to All England Open final. I gave it my all vs [world number one] Viktor Axelsen but it wasn't meant to be,"" he stated. Lakshya lost the final 10-21, 15-21. ",sports
9,"
Tried to pitch it up to dismiss Aus batters: Shaheen on Day 1 of 3rd Test
","Having reduced Australia to 8/2 after three overs on Day 1 of third Test against Pakistan, Pakistan pacer Shaheen Shah Afridi said he tried to pitch the ball up in right areas to dismiss opposition batters. He added that there are many chances of getting a wicket in morning session of a Test. Shaheen dismissed David Warner and Marnus Labuschagne.",sports
